insert into aluno values (999, '88687797166', 'João', 'João', '1952-12-09', 696653, '2007', null, 31, null);
insert into aluno values (1254, '74813451539', 'Eduardo', 'João', '1951-06-29', 699653, '2000', null, 286, null);
insert into aluno values (1255, '56755876461', 'Vinícius', 'Augusto', '1983-06-07', 794455, '2014', null, 287, null);
insert into aluno values (1256, '91238644625', 'Lucas', 'Guilherme', '1968-08-18', 794905, '2011', null, 288, null);
insert into aluno values (1257, '25718474558', 'Yan', 'Guilherme', '1958-11-11', 283846, '1996', null, 289, null);
insert into aluno values (1258, '13268153731', 'Lucas', 'João', '1974-02-07', 188283, '2015', null, 290, null);
insert into aluno values (1259, '54275239129', 'Eduardo', 'Luiz', '1976-09-08', 756625, '2018', null, 291, null);
insert into aluno values (1260, '72925137487', 'Luiz', 'Henrique', '1956-12-20', 627349, '1991', null, 292, null);
insert into aluno values (1261, '52655934458', 'Leonardo', 'Guilherme', '1953-09-06', 742100, '2009', null, 293, null);
insert into aluno values (1262, '17735937952', 'Miguel', 'Benício', '1959-05-23', 323880, '2002', null, 294, null);
insert into aluno values (1263, '32638638947', 'Lucas', 'João', '1957-03-05', 214539, '2003', null, 295, null);
insert into aluno values (1264, '35591418571', 'Hugo', 'Vitor', '1998-08-30', 123400, '2018', null, 296, null);
insert into aluno values (1265, '72784649548', 'Pedro', 'Gabriel', '1968-04-02', 265105, '2011', null, 297, null);
insert into aluno values (1266, '55187231162', 'Miguel', 'Arthur', '1985-09-10', 872229, '2004', null, 298, null);
insert into aluno values (1267, '33436653758', 'Bento', 'Pedro', '1983-10-06', 246668, '1996', null, 299, null);
insert into aluno values (1268, '27763758881', 'Gabriel', 'Vicente', '1977-09-07', 69559, '2019', null, 300, null);
insert into aluno values (1269, '44728893653', 'Samuel', 'Gabriel', '1975-06-22', 944092, '1991', null, 301, null);
insert into aluno values (1270, '74314791862', 'Vicente', 'Luiz', '1996-06-18', 100494, '2014', null, 302, null);
insert into aluno values (1271, '58117961684', 'Noah', 'Raul', '1955-11-22', 394321, '2009', null, 303, null);
insert into aluno values (1272, '41353769528', 'Martin', 'Francisco', '1978-12-30', 581877, '1994', null, 304, null);
insert into aluno values (1273, '81714584239', 'Lorenzo', 'Benjamin', '1954-04-15', 447778, '2009', null, 305, null);
insert into aluno values (1274, '65352661193', 'Theodoro', 'Luiz', '1999-08-30', 100192, '1999', null, 306, null);
insert into aluno values (1275, '16479773496', 'Henry', 'Gabriel', '2000-11-30', 710464, '2006', null, 307, null);
insert into aluno values (1276, '15345877954', 'Pedro', 'Lucas', '1987-05-20', 160345, '2007', null, 308, null);
insert into aluno values (1277, '61493922596', 'Luiz', 'Lorenzo', '1996-09-27', 299717, '1996', null, 309, null);
insert into aluno values (1278, '36836834731', 'Davi', 'Breno', '1964-05-22', 203242, '1998', null, 310, null);
insert into aluno values (1279, '68166698671', 'Raul', 'João', '1974-02-17', 783377, '1995', null, 311, null);
insert into aluno values (1280, '25671618999', 'Gabriel', 'Hugo', '1962-11-17', 123400, '2011', null, 312, null);
insert into aluno values (1281, '94262969451', 'Henrique', 'Thomas', '2000-09-23', 730883, '1996', null, 313, null);
insert into aluno values (1282, '24755545788', 'Noah', 'Matteo', '1979-08-16', 373440, '2003', null, 314, null);
insert into aluno values (1283, '89448941885', 'Nicolas', 'João', '1986-12-27', 100494, '2019', null, 315, null);
insert into aluno values (1284, '47835677226', 'João', 'Vitor', '1953-05-09', 864695, '2019', null, 316, null);
insert into aluno values (1285, '69666645626', 'Guilherme', 'Otávio', '1951-08-19', 591658, '2008', null, 317, null);
insert into aluno values (1286, '17685714254', 'Daniel', 'Henrique', '1955-04-19', 295185, '2014', null, 318, null);
insert into aluno values (1287, '55133248867', 'Oliver', 'Hugo', '1987-10-03', 513460, '1993', null, 319, null);
insert into aluno values (1288, '99183255237', 'Henrique', 'Miguel', '1989-04-25', 545233, '2019', null, 320, null);
insert into aluno values (1289, '84246177467', 'Kauê', 'João', '1987-01-21', 929945, '1999', null, 321, null);
insert into aluno values (1290, '68428511861', 'Matheus', 'Martin', '1973-06-02', 816871, '2016', null, 322, null);
insert into aluno values (1291, '21641332724', 'Benício', 'Henrique', '1983-02-18', 801612, '2008', null, 323, null);
insert into aluno values (1292, '66468763179', 'Guilherme', 'Valentim', '1953-05-18', 631512, '2013', null, 324, null);
insert into aluno values (1293, '54942618681', 'Anthony', 'João', '1976-01-19', 709162, '2011', null, 325, null);
insert into aluno values (1294, '95391126962', 'Davi', 'Nicolas', '1998-04-20', 181356, '2006', null, 326, null);
insert into aluno values (1295, '23762389596', 'Luiz', 'José', '1970-07-31', 639569, '2007', null, 327, null);
insert into aluno values (1296, '62646948221', 'João', 'Augusto', '1979-04-23', 853716, '2016', null, 328, null);
insert into aluno values (1297, '57829445631', 'Guilherme', 'Lucca', '1985-01-01', 37202, '2016', null, 329, null);
insert into aluno values (1298, '63377498385', 'Samuel', 'Theodoro', '1950-11-29', 686051, '1996', null, 330, null);
insert into aluno values (1299, '22416169191', 'Théo', 'Davi', '1977-04-06', 223227, '2011', null, 331, null);
insert into aluno values (1300, '74193642857', 'Josué', 'Yan', '1973-06-17', 121844, '1991', null, 332, null);
insert into aluno values (1301, '37525191811', 'Leonardo', 'Francisco', '1957-11-04', 949950, '2015', null, 333, null);
insert into aluno values (1302, '96535735673', 'Henrique', 'Lucas', '1991-05-26', 730883, '1992', null, 334, null);
insert into aluno values (1303, '64883819775', 'Yan', 'Felipe', '1985-05-12', 720753, '1997', null, 335, null);
insert into aluno values (1304, '57377643384', 'Luiz', 'Anthony', '1976-09-22', 974811, '1991', null, 336, null);
insert into aluno values (1305, '44176872654', 'Gael', 'Augusto', '1964-08-23', 68194, '1990', null, 337, null);
insert into aluno values (1306, '87573346256', 'Vitor', 'Emanuel', '1967-04-16', 224480, '2018', null, 338, null);
insert into aluno values (1307, '59738429611', 'Henrique', 'Bruno', '1998-05-07', 304321, '2006', null, 339, null);
insert into aluno values (1308, '58964746568', 'Daniel', 'Lucas', '1950-06-16', 635972, '2000', null, 340, null);
insert into aluno values (1309, '85566577474', 'Vicente', 'Lucca', '1951-03-21', 842792, '1991', null, 341, null);
insert into aluno values (1310, '99475381877', 'Vitor', 'Theodoro', '1953-01-19', 352570, '2002', null, 342, null);
insert into aluno values (1311, '28486344893', 'Bento', 'Erick', '1963-07-26', 709162, '2005', null, 343, null);
insert into aluno values (1312, '32827277885', 'Luiz', 'Lucas', '1986-08-30', 891750, '1998', null, 344, null);
insert into aluno values (1313, '39554784888', 'Luan', 'Thiago', '1981-11-25', 538587, '2014', null, 345, null);
insert into aluno values (1314, '98764753286', 'Enrico', 'Valentim', '1974-08-03', 104406, '1993', null, 346, null);
insert into aluno values (1315, '54931313771', 'Noah', 'João', '1969-07-10', 795402, '1993', null, 347, null);
insert into aluno values (1316, '54698734496', 'Ravi', 'Otávio', '1953-10-29', 816871, '2019', null, 348, null);
insert into aluno values (1317, '92676676725', 'Lucas', 'Matteo', '1965-06-16', 599302, '1994', null, 349, null);
insert into aluno values (1318, '78283272829', 'Luiz', 'Enrico', '1970-03-25', 577823, '1999', null, 350, null);
insert into aluno values (1319, '17993343257', 'Luiz', 'Pedro', '1953-01-14', 851033, '2010', null, 351, null);
insert into aluno values (1320, '74342287471', 'João', 'Davi', '1952-12-01', 283846, '2011', null, 352, null);
insert into aluno values (1321, '23698921157', 'Samuel', 'Lorenzo', '1988-11-21', 188365, '1995', null, 353, null);
insert into aluno values (1322, '79333967281', 'Gustavo', 'Benício', '1964-11-05', 647303, '2000', null, 354, null);
insert into aluno values (1323, '65413751255', 'Hugo', 'Henry', '1977-04-21', 963280, '2016', null, 355, null);
insert into aluno values (1324, '35865235288', 'Gabriel', 'Arthur', '1978-09-27', 509455, '1991', null, 356, null);
insert into aluno values (1325, '46419166741', 'Leonardo', 'Cauã', '1954-10-04', 863326, '1994', null, 357, null);
insert into aluno values (1326, '66437457843', 'Davi', 'Henrique', '1982-02-18', 367664, '1994', null, 358, null);
insert into aluno values (1327, '57683678411', 'Arthur', 'Lucca', '1961-08-17', 514796, '1993', null, 359, null);
insert into aluno values (1328, '31112494481', 'Yago', 'João', '1996-07-26', 271839, '1998', null, 360, null);
insert into aluno values (1329, '64697165165', 'Théo', 'Lucca', '1979-05-27', 777801, '2004', null, 361, null);
insert into aluno values (1330, '48166846817', 'Gabriel', 'João', '1973-02-16', 474399, '1998', null, 362, null);
insert into aluno values (1331, '47296472189', 'Tomás', 'Bruno', '1968-07-02', 571593, '2010', null, 363, null);
insert into aluno values (1332, '86777874392', 'João', 'Davi', '1988-07-22', 577823, '2006', null, 364, null);
insert into aluno values (1333, '98895699847', 'Davi', 'Miguel', '1988-07-11', 173125, '1999', null, 365, null);
insert into aluno values (1334, '71466354777', 'Thiago', 'Anthony', '1964-07-16', 388181, '2018', null, 366, null);
insert into aluno values (1335, '64228683635', 'Ícaro', 'Emanuel', '1976-05-20', 854192, '1996', null, 367, null);
insert into aluno values (1336, '97779474353', 'Lucas', 'Bernardo', '1972-09-19', 816871, '1991', null, 368, null);
insert into aluno values (1337, '12492769367', 'Caio', 'Martin', '1987-05-13', 667900, '2013', null, 369, null);
insert into aluno values (1338, '46878548215', 'Luiz', 'Arthur', '1981-12-04', 903487, '2002', null, 370, null);
insert into aluno values (1339, '34561193196', 'Henrique', 'Erick', '1988-08-20', 836282, '2000', null, 371, null);
insert into aluno values (1340, '86683639395', 'Anthony', 'Lucas', '1968-05-21', 43210, '2008', null, 372, null);
insert into aluno values (1341, '97469418449', 'Pedro', 'Rafael', '1956-05-12', 259185, '2012', null, 373, null);
insert into aluno values (1342, '34752896386', 'Thiago', 'João', '1972-02-16', 222776, '1991', null, 374, null);
insert into aluno values (1343, '33837578677', 'Lucas', 'Anthony', '1989-12-17', 173163, '2004', null, 375, null);
insert into aluno values (1344, '61281563687', 'Miguel', 'Lucca', '1996-10-09', 509455, '2019', null, 376, null);
insert into aluno values (1345, '48295731113', 'Arthur', 'Vitor', '1955-03-06', 950880, '2006', null, 377, null);
insert into aluno values (1346, '17818781266', 'Vitor', 'Bryan', '1952-09-20', 509455, '2001', null, 378, null);
insert into aluno values (1347, '71816838859', 'Enzo', 'Davi', '1993-07-18', 120300, '1997', null, 379, null);
insert into aluno values (1348, '97644757675', 'Davi', 'Vicente', '1975-01-29', 270158, '1993', null, 380, null);
insert into aluno values (1349, '52874497149', 'Felipe', 'João', '1971-05-01', 246668, '2002', null, 381, null);
insert into aluno values (1350, '66336579186', 'Tomás', 'Théo', '1999-01-03', 477003, '2016', null, 382, null);
insert into aluno values (1351, '43342896993', 'Miguel', 'Gael', '1968-11-24', 259185, '1991', null, 383, null);
insert into aluno values (1352, '23856752626', 'Nicolas', 'Ravi', '1992-04-23', 302811, '2016', null, 384, null);
insert into aluno values (1353, '28893199666', 'Lucas', 'Lucas', '1955-10-20', 610097, '2001', null, 385, null);
insert into aluno values (1354, '63129545423', 'Rafael', 'Lucca', '1997-05-18', 933995, '2014', null, 386, null);
insert into aluno values (1355, '92259654355', 'Caleb', 'Francisco', '1960-10-17', 871766, '2009', null, 387, null);
insert into aluno values (1356, '78311698528', 'Théo', 'Samuel', '1950-06-06', 325333, '2012', null, 388, null);
insert into aluno values (1357, '97632374152', 'Oliver', 'Davi', '1950-12-04', 89228, '2000', null, 389, null);
insert into aluno values (1358, '28786593235', 'Ravi', 'Raul', '1986-05-22', 221894, '2006', null, 390, null);
insert into aluno values (1359, '55646924421', 'Emanuel', 'Lucca', '1995-06-07', 581877, '1996', null, 391, null);
insert into aluno values (1360, '63222524724', 'João', 'João', '1988-02-24', 350314, '1991', null, 392, null);
insert into aluno values (1361, '54569277918', 'Luiz', 'Bernardo', '1951-07-02', 553363, '1994', null, 393, null);
insert into aluno values (1362, '49883618286', 'Tomás', 'Pedro', '1952-12-15', 720233, '1998', null, 394, null);
insert into aluno values (1363, '54455564932', 'Henrique', 'Theodoro', '1983-01-05', 869364, '2008', null, 395, null);
insert into aluno values (1364, '72669147943', 'Heitor', 'Vicente', '1965-07-22', 523577, '2016', null, 396, null);
insert into aluno values (1365, '91547374628', 'Pietro', 'Davi', '1956-10-10', 146180, '2016', null, 397, null);
insert into aluno values (1366, '61964797354', 'Benício', 'Miguel', '1988-12-23', 398692, '1998', null, 398, null);
insert into aluno values (1367, '33242819864', 'Vinícius', 'Gabriel', '2000-03-05', 317529, '1999', null, 399, null);
insert into aluno values (1368, '47395472546', 'Gabriel', 'João', '1976-12-22', 89228, '2004', null, 400, null);
insert into aluno values (1369, '89417651883', 'Ryan', 'Davi', '1959-01-20', 474423, '2003', null, 401, null);
insert into aluno values (1370, '99433838754', 'Levi', 'Ravi', '1967-01-23', 435161, '2005', null, 402, null);
insert into aluno values (1371, '33282188832', 'Lucca', 'Lucas', '1964-10-28', 643156, '2004', null, 403, null);
insert into aluno values (1372, '92848225454', 'Noah', 'Breno', '1974-06-08', 569547, '2016', null, 404, null);
insert into aluno values (1373, '41333483916', 'Vinícius', 'Lucas', '1960-06-15', 534723, '2017', null, 405, null);
insert into aluno values (1374, '57416266194', 'Bernardo', 'Thiago', '1985-06-20', 474423, '1997', null, 406, null);
insert into aluno values (1375, '55441961214', 'Ravi', 'Luan', '1951-02-20', 103234, '2018', null, 407, null);
insert into aluno values (1376, '27821973678', 'Yuri', 'Levi', '1969-01-29', 29767, '2004', null, 408, null);
insert into aluno values (1377, '61151359745', 'Matteo', 'Bernardo', '1969-02-12', 851429, '2013', null, 409, null);
insert into aluno values (1378, '77645926335', 'Miguel', 'Enzo', '1978-03-08', 681258, '2005', null, 410, null);
insert into aluno values (1379, '35753687961', 'Raul', 'Isaac', '1991-03-22', 258175, '2016', null, 411, null);
insert into aluno values (1380, '28962445431', 'João', 'Davi', '1971-12-13', 757502, '2014', null, 412, null);
insert into aluno values (1381, '25997412724', 'Ryan', 'Lucas', '1996-03-27', 373440, '2004', null, 413, null);
insert into aluno values (1382, '91776429496', 'Matteo', 'Gabriel', '1961-02-16', 398692, '2014', null, 414, null);
insert into aluno values (1383, '53738639721', 'Eduardo', 'Miguel', '1955-12-12', 538587, '1999', null, 415, null);
insert into aluno values (1384, '66714246781', 'Bento', 'Théo', '1985-02-25', 304321, '2011', null, 416, null);
insert into aluno values (1385, '33613485942', 'Thiago', 'Ryan', '1960-05-31', 386077, '2001', null, 417, null);
insert into aluno values (1386, '64823997555', 'Henrique', 'Davi', '1961-05-22', 111148, '1996', null, 418, null);
insert into aluno values (1387, '46774381763', 'Davi', 'João', '1960-06-05', 705376, '1999', null, 419, null);
insert into aluno values (1388, '48348631933', 'Davi', 'Yan', '1956-09-21', 427416, '2004', null, 420, null);
insert into aluno values (1389, '64617577872', 'Tomás', 'Vitor', '1999-05-09', 795402, '2008', null, 421, null);
insert into aluno values (1390, '48837145497', 'João', 'Lucas', '1984-11-01', 41276, '2014', null, 422, null);
insert into aluno values (1391, '24561537827', 'Théo', 'Gabriel', '1958-07-27', 188283, '1991', null, 423, null);
insert into aluno values (1392, '93119631969', 'Vinícius', 'Vicente', '1980-02-24', 477003, '2001', null, 424, null);
insert into aluno values (1393, '72898789622', 'Arthur', 'João', '1991-11-09', 180407, '1996', null, 425, null);
insert into aluno values (1394, '86731262322', 'Samuel', 'João', '1976-09-17', 682290, '1997', null, 426, null);
insert into aluno values (1395, '65194617364', 'Samuel', 'Miguel', '1956-07-08', 147853, '2019', null, 427, null);
insert into aluno values (1396, '64672233885', 'Antônio', 'Cauã', '1964-11-23', 785021, '1993', null, 428, null);
insert into aluno values (1397, '15243647641', 'Vitor', 'Lucas', '1987-11-28', 336488, '2011', null, 429, null);
insert into aluno values (1398, '59457259218', 'Davi', 'Augusto', '1961-11-21', 409217, '2001', null, 430, null);
insert into aluno values (1399, '76431449521', 'Gustavo', 'Breno', '1980-02-26', 77945, '1996', null, 431, null);
insert into aluno values (1400, '22458344523', 'Levi', 'Oliver', '1952-10-27', 667900, '1999', null, 432, null);
insert into aluno values (1401, '67669356646', 'Derick', 'Enzo', '1984-11-01', 217897, '2002', null, 433, null);
insert into aluno values (1402, '75464139147', 'Hugo', 'Miguel', '1982-10-13', 785856, '2005', null, 434, null);
insert into aluno values (1403, '86167641625', 'Daniel', 'Felipe', '1987-03-06', 705376, '2007', null, 435, null);
insert into aluno values (1404, '82646695965', 'Nicolas', 'João', '1975-08-29', 551339, '2014', null, 436, null);
insert into aluno values (1405, '61721929215', 'Pedro', 'Benjamin', '2000-06-25', 846553, '2007', null, 437, null);
insert into aluno values (1406, '59456219365', 'Davi', 'Emanuel', '1973-10-02', 271839, '1995', null, 438, null);
insert into aluno values (1407, '97943164371', 'Bryan', 'Bernardo', '1994-02-27', 72958, '2002', null, 439, null);
insert into aluno values (1408, '98882325147', 'Henrique', 'Luiz', '1970-09-17', 686051, '2018', null, 440, null);
insert into aluno values (1409, '48269321423', 'Matheus', 'Caleb', '1968-08-26', 29767, '2001', null, 441, null);
insert into aluno values (1410, '28471979745', 'Miguel', 'Gabriel', '1977-12-18', 222732, '2002', null, 442, null);
insert into aluno values (1411, '16599215551', 'João', 'Raul', '1962-09-30', 816871, '2009', null, 443, null);
insert into aluno values (1412, '13425376184', 'Luiz', 'Valentim', '1997-10-03', 44354, '1992', null, 444, null);
insert into aluno values (1413, '19579685185', 'Miguel', 'Gael', '1964-03-27', 468992, '2019', null, 445, null);
insert into aluno values (1414, '16499956368', 'Cauã', 'Kauê', '1990-08-03', 681258, '2015', null, 446, null);
insert into aluno values (1415, '67335446547', 'Pedro', 'Henrique', '1984-07-23', 640411, '2019', null, 447, null);
insert into aluno values (1416, '19257167156', 'Bryan', 'Gabriel', '1999-05-02', 794905, '1990', null, 448, null);
insert into aluno values (1417, '27911663166', 'João', 'Arthur', '1959-11-06', 82432, '2017', null, 449, null);
insert into aluno values (1418, '19693959599', 'Gabriel', 'Guilherme', '1974-04-08', 787288, '2011', null, 450, null);
insert into aluno values (1419, '56425328571', 'Bryan', 'José', '1987-08-14', 119962, '1997', null, 451, null);
insert into aluno values (1420, '51224975284', 'Vitor', 'Arthur', '1986-06-17', 962910, '1992', null, 452, null);
insert into aluno values (1421, '23122261753', 'Derick', 'Breno', '1975-07-27', 324654, '2006', null, 453, null);
insert into aluno values (1422, '46879967437', 'Ryan', 'Lorenzo', '1952-11-18', 640477, '2000', null, 454, null);
insert into aluno values (1423, '21343254636', 'Théo', 'Arthur', '1973-05-17', 338741, '1993', null, 455, null);
insert into aluno values (1424, '82239644183', 'Miguel', 'Cauã', '1968-11-30', 115274, '2004', null, 456, null);
insert into aluno values (1425, '42619342264', 'Luiz', 'Pedro', '1972-09-07', 238259, '2005', null, 457, null);
insert into aluno values (1426, '13763725477', 'Miguel', 'Breno', '1954-05-22', 770978, '1996', null, 458, null);
insert into aluno values (1427, '35325554545', 'Otávio', 'Pedro', '1995-08-09', 159717, '2005', null, 459, null);
insert into aluno values (1428, '55382632346', 'Martin', 'Thiago', '1952-10-13', 44354, '2015', null, 460, null);
insert into aluno values (1429, '77638311355', 'Oliver', 'Davi', '1984-09-28', 386077, '1990', null, 461, null);
insert into aluno values (1430, '37124198955', 'Gabriel', 'Oliver', '1977-11-10', 552236, '2019', null, 462, null);
insert into aluno values (1431, '65119838745', 'Henry', 'Lorenzo', '1957-06-12', 712428, '1996', null, 463, null);
insert into aluno values (1432, '55829186421', 'Murilo', 'Lucas', '1980-09-03', 38269, '2005', null, 464, null);
insert into aluno values (1433, '96314758997', 'Bryan', 'Daniel', '1950-03-07', 737633, '1999', null, 465, null);
insert into aluno values (1434, '59354654847', 'Hugo', 'Lucca', '1997-05-20', 77945, '2017', null, 466, null);
insert into aluno values (1435, '76878257147', 'Felipe', 'Heitor', '1960-11-01', 214539, '2000', null, 467, null);
insert into aluno values (1436, '15142142342', 'Heitor', 'João', '1983-06-01', 791770, '2012', null, 468, null);
insert into aluno values (1437, '44247153379', 'Pedro', 'Miguel', '1979-11-03', 587312, '1992', null, 469, null);
insert into aluno values (1438, '91692766735', 'Caio', 'Lucas', '1973-12-20', 271839, '1995', null, 470, null);
insert into aluno values (1439, '99438895171', 'Miguel', 'Pedro', '1996-12-15', 954952, '2015', null, 471, null);
insert into aluno values (1440, '38614451113', 'Guilherme', 'Luiz', '1988-01-15', 757502, '2007', null, 472, null);
insert into aluno values (1441, '95366392657', 'Yan', 'Emanuel', '1973-03-26', 459541, '1996', null, 473, null);
insert into aluno values (1442, '82336847585', 'Ryan', 'Lucca', '1982-01-04', 783339, '2013', null, 474, null);
insert into aluno values (1443, '57818352536', 'Mathias', 'Augusto', '1976-09-17', 466567, '2010', null, 475, null);
insert into aluno values (1444, '39644168761', 'Thomas', 'Lucas', '1966-06-09', 841174, '1993', null, 476, null);
insert into aluno values (1445, '67832341611', 'Yago', 'Yago', '1957-05-04', 9545, '1998', null, 477, null);
insert into aluno values (1446, '97182551826', 'Mathias', 'Gael', '1996-02-03', 432287, '2000', null, 478, null);
insert into aluno values (1447, '74727482981', 'Rodrigo', 'Yan', '1963-06-19', 480690, '1994', null, 479, null);
insert into aluno values (1448, '25946255257', 'Enzo', 'Miguel', '1975-08-12', 63110, '2012', null, 480, null);
insert into aluno values (1449, '68263468432', 'Rafael', 'Tomás', '1952-07-02', 448956, '1992', null, 481, null);
insert into aluno values (1450, '69932734582', 'Lucca', 'Heitor', '1965-01-02', 863326, '2007', null, 482, null);
insert into aluno values (1451, '31788739646', 'João', 'Pedro', '1974-06-03', 654068, '2003', null, 483, null);
insert into aluno values (1452, '14896466637', 'Luiz', 'Oliver', '1967-01-29', 626435, '2014', null, 484, null);
insert into aluno values (1453, '35514626532', 'Theodoro', 'Arthur', '1993-02-01', 270158, '2003', null, 485, null);
insert into aluno values (1454, '62128922762', 'Anthony', 'Bryan', '1979-04-08', 640477, '2015', null, 486, null);
insert into aluno values (1455, '83367322589', 'Hugo', 'Luiz', '1982-01-18', 816871, '2002', null, 487, null);
insert into aluno values (1456, '65865599464', 'Vicente', 'Luiz', '1999-11-10', 389088, '2016', null, 488, null);
insert into aluno values (1457, '84116626775', 'Miguel', 'Hugo', '1958-03-06', 89378, '1997', null, 489, null);
insert into aluno values (1458, '48497972291', 'Yuri', 'Bernardo', '1998-02-04', 146180, '2005', null, 490, null);
insert into aluno values (1459, '88418537971', 'Bruno', 'Yago', '1956-10-29', 772651, '1992', null, 491, null);
insert into aluno values (1460, '87567359368', 'Gabriel', 'Arthur', '1970-10-13', 691729, '2017', null, 492, null);
insert into aluno values (1461, '18629644616', 'Gabriel', 'Luiz', '1960-01-10', 703812, '2010', null, 493, null);
insert into aluno values (1462, '81599295517', 'Pedro', 'Lucca', '1975-12-10', 466567, '1998', null, 494, null);
insert into aluno values (1463, '88932143155', 'Gabriel', 'Arthur', '1987-07-02', 85157, '2010', null, 495, null);
insert into aluno values (1464, '75946477728', 'Enzo', 'Henrique', '1992-06-14', 435161, '2007', null, 496, null);
insert into aluno values (1465, '71141687871', 'João', 'Lucca', '1982-07-06', 160345, '2007', null, 497, null);
insert into aluno values (1466, '77758832831', 'João', 'Gabriel', '1981-07-29', 586841, '2012', null, 498, null);
insert into aluno values (1467, '65557461574', 'Anthony', 'Pedro', '1990-09-26', 708729, '2015', null, 499, null);
insert into aluno values (1468, '21952825372', 'Henrique', 'Gabriel', '1982-05-18', 99187, '2019', null, 500, null);
insert into aluno values (1469, '96346123818', 'Matteo', 'Samuel', '1964-05-08', 326970, '1999', null, 501, null);
insert into aluno values (1470, '63244758965', 'Hugo', 'Henry', '1977-08-01', 529417, '2019', null, 502, null);
insert into aluno values (1471, '22138321838', 'Lucas', 'Martin', '1969-02-04', 199444, '2003', null, 503, null);
insert into aluno values (1472, '79967493989', 'Miguel', 'Pietro', '1962-04-11', 469333, '2010', null, 504, null);
insert into aluno values (1473, '85157568837', 'Antônio', 'Mathias', '1955-11-10', 773620, '2017', null, 505, null);
insert into aluno values (1474, '24756587912', 'Pedro', 'Arthur', '1976-08-23', 373440, '1995', null, 506, null);
insert into aluno values (1475, '36667479692', 'Lucas', 'Gabriel', '1993-12-28', 373440, '2010', null, 507, null);
insert into aluno values (1476, '58461562174', 'Erick', 'Benício', '1966-10-06', 762642, '2014', null, 508, null);
insert into aluno values (1477, '41395278594', 'José', 'Rodrigo', '1980-11-25', 841174, '2008', null, 509, null);
insert into aluno values (1478, '61421644647', 'Luiz', 'João', '1979-03-26', 37260, '2019', null, 510, null);
insert into aluno values (1479, '42291377126', 'Erick', 'José', '1958-10-03', 167413, '2017', null, 511, null);
insert into aluno values (1480, '36757263665', 'Luan', 'Lucca', '1978-01-08', 727538, '1999', null, 512, null);
insert into aluno values (1481, '59385164248', 'Davi', 'João', '1954-03-19', 331032, '1991', null, 513, null);
insert into aluno values (1482, '99596337455', 'Otto', 'Lucas', '2000-03-29', 846553, '1998', null, 514, null);
insert into aluno values (1483, '83893251673', 'Miguel', 'Henrique', '1962-04-03', 474423, '2000', null, 515, null);
insert into aluno values (1484, '24168526421', 'Thomas', 'Derick', '1954-12-18', 919967, '2005', null, 516, null);
insert into aluno values (1485, '49149428432', 'Caio', 'Miguel', '1974-11-09', 794905, '2018', null, 517, null);
insert into aluno values (1486, '33991834193', 'Daniel', 'Isaac', '1987-03-24', 147853, '1998', null, 518, null);
insert into aluno values (1487, '18459617732', 'João', 'Gabriel', '1956-10-05', 587476, '1999', null, 519, null);
insert into aluno values (1488, '23754679729', 'Davi', 'Pedro', '1989-08-11', 944092, '2000', null, 520, null);
insert into aluno values (1489, '76495684289', 'Vicente', 'Cauã', '1967-02-02', 270950, '1990', null, 521, null);
insert into aluno values (1490, '59642975452', 'Lucas', 'Josué', '1965-12-28', 189368, '2002', null, 522, null);
insert into aluno values (1491, '39567489779', 'Arthur', 'Bryan', '1966-02-18', 978338, '2001', null, 523, null);
insert into aluno values (1492, '43323532262', 'Anthony', 'Miguel', '1957-03-21', 24335, '2010', null, 524, null);
insert into aluno values (1493, '39336639843', 'Henrique', 'Arthur', '1953-12-28', 960937, '2000', null, 525, null);
insert into aluno values (1494, '95758326364', 'Guilherme', 'Rafael', '1954-01-19', 214539, '2019', null, 526, null);
insert into aluno values (1495, '38677151389', 'Heitor', 'Davi', '1960-08-14', 247539, '2010', null, 527, null);
insert into aluno values (1496, '82245323223', 'Felipe', 'Felipe', '1965-08-07', 190737, '1995', null, 528, null);
insert into aluno values (1497, '65884272297', 'Pedro', 'Vitor', '1954-05-09', 587706, '2003', null, 529, null);
insert into aluno values (1498, '86498817542', 'Nathan', 'Cauã', '1993-12-07', 394321, '1994', null, 530, null);
insert into aluno values (1499, '88315926395', 'Theodoro', 'Vitor', '1961-11-11', 367155, '2015', 1, null, null);
insert into aluno values (1500, '93833919175', 'Arthur', 'Levi', '1988-08-31', 577823, '1996', 2, null, null);
insert into aluno values (1501, '76257992764', 'Nicolas', 'Nathan', '1979-02-08', 141772, '2011', 3, null, null);
insert into aluno values (1502, '34134328833', 'Enzo', 'Benjamin', '1966-05-08', 678522, '1998', 4, null, null);
insert into aluno values (1503, '65965537367', 'Ícaro', 'Gabriel', '1954-03-10', 454036, '2014', 5, null, null);
insert into aluno values (1504, '37927275469', 'Otávio', 'Gael', '1993-10-10', 542793, '1997', 6, null, null);
insert into aluno values (1505, '68319167191', 'Theodoro', 'Yago', '1973-02-24', 735001, '2005', 7, null, null);
insert into aluno values (1506, '42971559654', 'José', 'Hugo', '1992-08-25', 159717, '2005', 8, null, null);
insert into aluno values (1507, '98972435492', 'Lucas', 'João', '1974-05-12', 553363, '2015', 9, null, null);
insert into aluno values (1508, '24374235366', 'Yan', 'Bernardo', '2000-02-13', 972808, '2018', 10, null, null);
insert into aluno values (1509, '76473425563', 'Anthony', 'Gabriel', '1979-07-08', 27363, '1990', 11, null, null);
